timestamp,coin,price
25-09-15 21-04-30,bitcoin,114609
25-09-15 21-04-30,ethereum,4481.3
25-09-15 21-04-30,ripple,3.02
25-09-15 21-04-30,tether,1.0
25-09-15 21-04-30,binancecoin,915.46
25-09-15 21-04-30,solana,233.57
25-09-15 21-04-30,usd-coin,0.999716
25-09-15 21-04-30,dogecoin,0.263141
25-09-15 21-04-30,staked-ether,4484.67
25-09-15 21-04-30,tron,0.343736
25-09-15 21-04-30,cardano,0.859357
25-09-15 21-04-30,wrapped-steth,5446.17
25-09-15 21-04-30,chainlink,23.17
25-09-15 21-04-30,wrapped-beacon-eth,4840.59
25-09-15 21-04-30,wrapped-bitcoin,114821
25-09-15 21-04-30,hyperliquid,52.84
25-09-15 21-04-30,ethena-usde,1.002
25-09-15 21-04-30,sui,3.5
25-09-15 21-04-30,figure-heloc,1.0
25-09-15 21-04-30,avalanche-2,28.54
25-09-15 21-04-44,bitcoin,114609
25-09-15 21-04-44,ethereum,4481.3
25-09-15 21-04-44,ripple,3.02
25-09-15 21-04-44,tether,1.0
25-09-15 21-04-44,binancecoin,915.46
25-09-15 21-04-44,solana,233.57
25-09-15 21-04-44,usd-coin,0.999716
25-09-15 21-04-44,dogecoin,0.263141
25-09-15 21-04-44,staked-ether,4484.67
25-09-15 21-04-44,tron,0.343736
25-09-15 21-04-44,cardano,0.859357
25-09-15 21-04-44,wrapped-steth,5446.17
25-09-15 21-04-44,chainlink,23.17
25-09-15 21-04-44,wrapped-beacon-eth,4840.59
25-09-15 21-04-44,wrapped-bitcoin,114821
25-09-15 21-04-44,hyperliquid,52.84
25-09-15 21-04-44,ethena-usde,1.002
25-09-15 21-04-44,sui,3.5
25-09-15 21-04-44,figure-heloc,1.0
25-09-15 21-04-44,avalanche-2,28.54
